Fecha,Inflacion_nsubyacente
1/1/1983,109.81
1/2/1983,109.5
1/3/1983,114.44
1/4/1983,122.87
1/5/1983,124.39
1/6/1983,124.85
1/7/1983,117.18
1/8/1983,87.8
1/9/1983,82.91
1/10/1983,83.83
1/11/1983,90.54
1/12/1983,63.21
1/1/1984,65.59
1/2/1984,66.67
1/3/1984,67.08
1/4/1984,65.63
1/5/1984,66
1/6/1984,63.63
1/7/1984,64.09
1/8/1984,67.04
1/9/1984,64.91
1/10/1984,61.22
1/11/1984,57.65
1/12/1984,58.13
1/1/1985,65.58
1/2/1985,64.97
1/3/1985,60.71
1/4/1985,55.43
1/5/1985,49.7
1/6/1985,48.54
1/7/1985,50.2
1/8/1985,51.5
1/9/1985,53.89
1/10/1985,55.39
1/11/1985,56.05
1/12/1985,72.36
1/1/1986,64.45
1/2/1986,62.73
1/3/1986,64.16
1/4/1986,64.77
1/5/1986,71.05
1/6/1986,76.05
1/7/1986,78.56
1/8/1986,99.71
1/9/1986,104.96
1/10/1986,106.05
1/11/1986,111.07
1/12/1986,98.79
1/1/1987,94.63
1/2/1987,102.56
1/3/1987,107.7
1/4/1987,126.99
1/5/1987,135.58
1/6/1987,140.63
1/7/1987,144.17
1/8/1987,133.51
1/9/1987,130.48
1/10/1987,139.57
1/11/1987,131.69
1/12/1987,163.08
1/1/1988,201.29
1/2/1988,189.78
1/3/1988,181.96
1/4/1988,156.5
1/5/1988,140.88
1/6/1988,135.94
1/7/1988,130.48
1/8/1988,108.97
1/9/1988,104.91
1/10/1988,93.96
1/11/1988,93.36
1/12/1988,61.34
1/1/1989,31.39
1/2/1989,27.83
1/3/1989,25.16
1/4/1989,23.6
1/5/1989,24.23
1/6/1989,21.62
1/7/1989,18.46
1/8/1989,17.99
1/9/1989,15.03
1/10/1989,14.26
1/11/1989,12.05
1/12/1989,14.31
1/1/1990,23.24
1/2/1990,28.63
1/3/1990,31.65
1/4/1990,28.76
1/5/1990,25.64
1/6/1990,24.52
1/7/1990,24.48
1/8/1990,25.85
1/9/1990,27.9
1/10/1990,28.39
1/11/1990,32.72
1/12/1990,31.76
1/1/1991,24.64
1/2/1991,21.65
1/3/1991,20.14
1/4/1991,21.01
1/5/1991,22.32
1/6/1991,22.53
1/7/1991,22.07
1/8/1991,20.4
1/9/1991,19.15
1/10/1991,18.62
1/11/1991,22.43
1/12/1991,22.47
1/1/1992,21.94
1/2/1992,22.33
1/3/1992,22.5
1/4/1992,22.35
1/5/1992,19.79
1/6/1992,17.77
1/7/1992,16.8
1/8/1992,16.57
1/9/1992,17.01
1/10/1992,17.55
1/11/1992,10.5
1/12/1992,9.09
1/1/1993,8.57
1/2/1993,6.86
1/3/1993,4.57
1/4/1993,4.06
1/5/1993,6.21
1/6/1993,7.61
1/7/1993,8.32
1/8/1993,8.75
1/9/1993,9.28
1/10/1993,8.1
1/11/1993,7.55
1/12/1993,6.71
1/1/1994,6.62
1/2/1994,6.19
1/3/1994,6.84
1/4/1994,6.57
1/5/1994,5.72
1/6/1994,5.12
1/7/1994,5.18
1/8/1994,5.35
1/9/1994,5.16
1/10/1994,5.98
1/11/1994,5.87
1/12/1994,5
1/1/1995,7.94
1/2/1995,11.93
1/3/1995,22.46
1/4/1995,33.55
1/5/1995,35.99
1/6/1995,38.78
1/7/1995,40.34
1/8/1995,41.33
1/9/1995,42.58
1/10/1995,46
1/11/1995,50.57
1/12/1995,55.57
1/1/1996,56.5
1/2/1996,55.13
1/3/1996,44.68
1/4/1996,36.74
1/5/1996,36.49
1/6/1996,35.01
1/7/1996,34.09
1/8/1996,34.38
1/9/1996,34.26
1/10/1996,32.42
1/11/1996,30.72
1/12/1996,32.77
1/1/1997,30.44
1/2/1997,29.54
1/3/1997,28.68
1/4/1997,25.52
1/5/1997,23.11
1/6/1997,21.93
1/7/1997,21.72
1/8/1997,21.54
1/9/1997,21.01
1/10/1997,19.68
1/11/1997,18.59
1/12/1997,13.68
1/1/1998,13.85
1/2/1998,13.53
1/3/1998,13.74
1/4/1998,13.51
1/5/1998,13.66
1/6/1998,14.55
1/7/1998,15.11
1/8/1998,14.7
1/9/1998,14.74
1/10/1998,15.96
1/11/1998,18.34
1/12/1998,21.89
1/1/1999,21.8
1/2/1999,20.36
1/3/1999,17.77
1/4/1999,17.51
1/5/1999,16.98
1/6/1999,15.97
1/7/1999,15
1/8/1999,14.13
1/9/1999,13.53
1/10/1999,12.25
1/11/1999,10.17
1/12/1999,6.69
1/1/2000,5.27
1/2/2000,5.51
1/3/2000,6.71
1/4/2000,7.31
1/5/2000,7.98
1/6/2000,9.09
1/7/2000,8.98
1/8/2000,9.98
1/9/2000,10.4
1/10/2000,11.27
1/11/2000,11.1
1/12/2000,12.17
1/1/2001,10.57
1/2/2001,7.67
1/3/2001,8.15
1/4/2001,8.01
1/5/2001,7.65
1/6/2001,6.21
1/7/2001,4.08
1/8/2001,4.52
1/9/2001,5.38
1/10/2001,5.24
1/11/2001,4.5
1/12/2001,1.75
1/1/2002,3.9
1/2/2002,4.02
1/3/2002,4.1
1/4/2002,4.65
1/5/2002,5.07
1/6/2002,6.69
1/7/2002,9.13
1/8/2002,8.26
1/9/2002,7.13
1/10/2002,7.33
1/11/2002,9.79
1/12/2002,11.33
1/1/2003,9.28
1/2/2003,11.23
1/3/2003,11.92
1/4/2003,10.23
1/5/2003,7.28
1/6/2003,5.65
1/7/2003,5
1/8/2003,4.52
1/9/2003,5.19
1/10/2003,4.88
1/11/2003,4.7
1/12/2003,4.37
1/1/2004,5.62
1/2/2004,7.33
1/3/2004,6.06
1/4/2004,6.02
1/5/2004,6.55
1/6/2004,6.33
1/7/2004,6.76
1/8/2004,8.63
1/9/2004,9.38
1/10/2004,10.66
1/11/2004,10.73
1/12/2004,9.67
1/1/2005,6.75
1/2/2005,5.73
1/3/2005,6.54
1/4/2005,8.04
1/5/2005,8.24
1/6/2005,7.12
1/7/2005,7.61
1/8/2005,5.72
1/9/2005,4.06
1/10/2005,2.18
1/11/2005,1.72
1/12/2005,3.53
1/1/2006,6.74
1/2/2006,6.14
1/3/2006,4.26
1/4/2006,2.79
1/5/2006,2.1
1/6/2006,2.72
1/7/2006,1.99
1/8/2006,3.66
1/9/2006,6.23
1/10/2006,7.15
1/11/2006,6
1/12/2006,5.42
1/1/2007,4.25
1/2/2007,4.63
1/3/2007,5.41
1/4/2007,4.99
1/5/2007,4.58
1/6/2007,4.81
1/7/2007,5.35
1/8/2007,4.51
1/9/2007,3.69
1/10/2007,3.14
1/11/2007,4.07
1/12/2007,3.39
1/1/2008,3.26
1/2/2008,3.16
1/3/2008,4.77
1/4/2008,5.38
1/5/2008,6.18
1/6/2008,6.9
1/7/2008,7.16
1/8/2008,7.43
1/9/2008,6.59
1/10/2008,8.08
1/11/2008,9.19
1/12/2008,9.8
1/1/2009,8.72
1/2/2009,8.26
1/3/2009,7.47
1/4/2009,7.93
1/5/2009,8.12
1/6/2009,7.83
1/7/2009,6.84
1/8/2009,6.19
1/9/2009,6.03
1/10/2009,4.2
1/11/2009,2.56
1/12/2009,1.72
1/1/2010,4.38
1/2/2010,6.13
1/3/2010,7.27
1/4/2010,5.38
1/5/2010,3.76
1/6/2010,3.19
1/7/2010,3.28
1/8/2010,3.64
1/9/2010,3.86
1/10/2010,5.7
1/11/2010,6.61
1/12/2010,7.09
1/1/2011,5.39
1/2/2011,4.53
1/3/2011,2.46
1/4/2011,3.9
1/5/2011,3.45
1/6/2011,3.34
1/7/2011,4.51
1/8/2011,3.9
1/9/2011,2.98
1/10/2011,3.09
1/11/2011,4.13
1/12/2011,5.34
1/1/2012,6.38
1/2/2012,5.53
1/3/2012,5.12
1/4/2012,3.49
1/5/2012,5.15
1/6/2012,7.26
1/7/2012,7.3
1/8/2012,7.58
1/9/2012,8.81
1/10/2012,8.07
1/11/2012,7.09
1/12/2012,5.74
1/1/2013,4.47
1/2/2013,5.47
1/3/2013,8.29
1/4/2013,10.32
1/5/2013,10.56
1/6/2013,8.39
1/7/2013,6.6
1/8/2013,7.01
1/9/2013,6.2
1/10/2013,6.18
1/11/2013,7.02
1/12/2013,7.84
1/1/2014,8.58
1/2/2014,8.28
1/3/2014,6.54
1/4/2014,4.75
1/5/2014,5.19
1/6/2014,5.96
1/7/2014,6.83
1/8/2014,6.72
1/9/2014,7.11
1/10/2014,7.51
1/11/2014,6.78
1/12/2014,6.7
1/1/2015,5.34
1/2/2015,4.88
1/3/2015,5.29
1/4/2015,5.46
1/5/2015,4.64
1/6/2015,4.63
1/7/2015,4.12
1/8/2015,3.51
1/9/2015,2.96
1/10/2015,2.52
1/11/2015,1.84
1/12/2015,1.28
1/1/2016,2.52
1/2/2016,3.49
1/3/2016,2.12
1/4/2016,1.66
1/5/2016,1.55
1/6/2016,1.16
1/7/2016,1.65
1/8/2016,1.99
1/9/2016,2.65
1/10/2016,2.95
1/11/2016,3.34
1/12/2016,3.13
1/1/2017,7.4
1/2/2017,6.71
1/3/2017,8.02
1/4/2017,9.25
1/5/2017,10.6
1/6/2017,11.09
1/7/2017,11.27
1/8/2017,11.98
1/9/2017,11.28
1/10/2017,11.4
1/11/2017,11.97
1/12/2017,12.62
1/1/2018,8.44
1/2/2018,8.49
1/3/2018,8.03
1/4/2018,7.07
1/5/2018,6.99
1/6/2018,7.79
1/7/2018,8.38
1/8/2018,8.8
1/9/2018,9.15
1/10/2018,8.5
1/11/2018,8.07
1/12/2018,8.4
1/1/2019,6.81
1/2/2019,5.25
1/3/2019,5.47
1/4/2019,6.08
1/5/2019,5.78
1/6/2019,4.19
1/7/2019,3.64
1/8/2019,1.28
1/9/2019,0.71
1/10/2019,1.01
1/11/2019,0.98
1/12/2019,0.59
1/1/2020,1.81
1/2/2020,3.81
1/3/2020,2.19
1/4/2020,-1.96
1/5/2020,0.35
1/6/2020,2.16
1/7/2020,2.92
1/8/2020,4.3
1/9/2020,4.1
1/10/2020,4.42
1/11/2020,2.33
1/12/2020,1.18
1/1/2021,2.63
1/2/2021,3.43
1/3/2021,6.31
1/4/2021,12.34
1/5/2021,10.76
1/6/2021,10
1/7/2021,9.39
1/8/2021,8.14
1/9/2021,9.37
1/10/2021,9.47
1/11/2021,12.61
1/12/2021,11.74
1/1/2022,9.68
1/2/2022,9.34
1/3/2022,9.45
1/4/2022,9.07
